pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
English-Southeast,Latvian,7.045,5,9,0.761,56.91,24.1,Europe,Latvia
Netherlands-AJ,Turk-Central,1.493,4,10,0.345,38.73,35.48,Asia,Turkey
Libyan,Tatar-Volga,1.121,5,26,0.153,54.19,52.71,Europe,Russia
Brahmin,Druze,0.931,3,30,0.18,32.05,35.02,Asia,Israel
English-Southeast,Druze,1.594,5,30,0.188,32.05,35.02,Asia,Israel
Algerian,Karelian,0.862,4,17,0.187,60.85,32.14,Europe,Russia
Basque-Spain,Kazakh-East,1.372,6,13,0.256,44,87.46,Asia,Kazakhstan
Jew-Iberian,Slovakian,2.79,3,15,0.429,48.67,19.7,Europe,Slovakia
Afar,Sicilian-West,0.423,5,14,0.143,38.02,12.52,Europe,Italy
Cossack,Tatar-Siberia,3.4,4,21,0.384,57.75,67.71,Asia,Russia
French-Southeast,Georgian,1.167,5,26,0.161,41.96,42.06,Asia,Turkey
Kyrgyz-South,Druze,0.715,6,30,0.108,32.05,35.02,Asia,Israel
English-Southwest,German,5.272,5,13,0.459,51.48,10.37,Europe,Germany
Brahmin,Latvian,1.754,3,9,0.317,56.91,24.1,Europe,Latvia
Libyan,Punjabi,0.0,5,9,0.0,29.89,74.48,Asia,Pakistan
Sicilian-East,Sicilian-West,2.662,6,14,0.36,38.02,12.52,Europe,Italy
Jew-Iberian,Jew-Cochin,4.679,3,5,2.01,9.97,76.28,Asia,India
Scot,Uyghur-North,1.138,4,11,0.254,43.95,80.86,Asia,China
Eritrean,Brahmin,0.951,3,3,0.484,26.4,83.33,Asia,India
Austria-AJ,Tunisian,2.025,3,8,0.47,36.82,10.17,Africa,Tunisia
Jew-Cochin,German,1.339,5,13,0.226,51.48,10.37,Europe,Germany
French-Southwest,Karelian,4.358,6,17,0.317,60.85,32.14,Europe,Russia
Kyrgyz-South,Latvian,2.14,6,9,0.345,56.91,24.1,Europe,Latvia
Algerian,Jew-Iraqi,0.817,4,6,0.317,33.33,44.42,Asia,Iraq
Kryashen,Uyghur-North,1.798,3,11,0.423,43.95,80.86,Asia,China
Jew-Iraqi,Turk-Central,1.391,6,10,0.254,38.73,35.48,Asia,Turkey
Shaigi,BedouinB,2.844,3,12,0.568,31,35,Asia,Israel
Jew-Iraqi,Russian-Central,1.357,6,58,0.109,57.19,38.52,Europe,Russia
Austria-AJ,Romania-AJ,95.517,3,23,3.115,44.43,26.1,Europe,Romania
Netherlands-AJ,Russian-Central,3.858,4,58,0.228,57.19,38.52,Europe,Russia
Spanish-Northwest,Yemenite-Desert,0.608,5,27,0.109,16.48,50.03,Asia,Yemen
French-Southeast,Lak,1.592,5,9,0.385,42.17,47.12,Europe,Russia
Mansi,Kazakh-West,4.054,5,13,0.476,51.8,67.16,Asia,Kazakhstan
Spanish-Northwest,Lebanese-Christian,0.96,5,9,0.253,33.89,35.5,Asia,Lebanon
