pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Uzbek-West,Veps,2.849,8,12,0.319,61.3,35.01,Europe,Russia
Jew-Kurdish,Somali,0.183,8,13,0.068,5.6,48.3,Africa,Kenya
Hemshin,Gagauz,2.138,8,9,0.315,45.54,28.38,Europe,Moldova
Cypriot,Azeri,1.296,7,18,0.186,40.97,47.86,Europe,Russia
Jew-Yemenite,Gujarati,0.44,7,17,0.102,23.2,72.7,Asia,India
general-AJ,Gagauz,3.107,7,9,0.341,45.54,28.38,Europe,Moldova
Russian-Southwest,Bashkir,5.717,8,56,0.212,54.32,56.12,Europe,Russia
Ukranian-West,Circassian,2.912,8,12,0.312,44.28,41.55,Europe,Russia
Iranian-South,Chuvash,1.276,8,18,0.168,55.33,48.74,Europe,Russia
Jew-Moroccan,Spanish-Catalonia,2.546,6,57,0.147,41.68,1.66,Europe,Spain
Assyrian-Caucasus,Russian-Central,1.486,7,58,0.097,57.19,38.52,Europe,Russia
Assyrian-Caucasus,Moroccan,1.088,7,10,0.233,33.53,-7.58,Africa,Morocco
Turk-West,Moldavian,2.181,8,11,0.241,46.51,29.66,Europe,Moldova
Russian-Southwest,Turk-South,2.002,8,10,0.261,37,35.32,Asia,Turkey
Lak,Bashkir,1.677,9,56,0.101,54.32,56.12,Europe,Russia
Turkmen,Belarusian,2.807,8,14,0.285,53.64,27.47,Europe,Belarus
Darginian,Estonian,3.193,8,16,0.265,58.45,25.31,Europe,Estonia
Jew-Turkish,Balkar,1.454,8,13,0.185,43.5,43.61,Europe,Russia
Hemshin,Druze,1.615,8,30,0.15,32.05,35.02,Asia,Israel
Latvia-AJ,Darginian,1.625,7,8,0.233,42.18,47.22,Europe,Russia
Jew-Iranian,Karachay,1.293,9,11,0.201,43.94,42.52,Europe,Russia
Jew-Georgian,Somali,0.359,7,13,0.116,5.6,48.3,Africa,Kenya
Latvia-AJ,Nogai,1.37,7,25,0.155,44.82,43.22,Europe,Russia
general-AJ,Spanish-Balearic,3.425,7,29,0.231,39.33,2.37,Europe,Spain
Jew-Ethiopian,Orcadian,0.125,7,11,0.061,59,-3,Europe,United Kingdom
Syrian,Karachay,0.943,8,11,0.168,43.94,42.52,Europe,Russia
Jew-Libyan,Russia-AJ,4.389,8,39,0.243,55.75,37.62,Europe,Russia
Jew-Libyan,Avar,1.382,8,10,0.22,41.93,47.33,Europe,Russia
Jew-Tunisian,Icelandic,2.032,7,12,0.286,64.13,-21.93,Europe,Iceland
Spanish-South,Iranian-Central,1.173,8,22,0.135,31.43,51.07,Asia,Iran
Jew-French,Ossetian,1.886,7,18,0.24,43.07,44.23,Europe,Russia
Tunisian,Pole,1.051,8,19,0.141,51.98,19.4,Europe,Poland
Maltese,Spanish-Balearic,2.357,8,29,0.165,39.33,2.37,Europe,Spain
Maltese,Latvian,3.221,8,9,0.329,56.91,24.1,Europe,Latvia
Ukranian-East,Uzbek-East,2.352,8,21,0.221,41.18,69.22,Asia,Uzbekistan
Jew-Kurdish,Czechia-AJ,2.131,8,13,0.263,50.08,14.47,Europe,Czechia
Lak,Turk-South,1.046,9,10,0.167,37,35.32,Asia,Turkey
Uzbek-West,Norwegian,1.882,8,12,0.246,60.32,5.81,Europe,Norway
Cypriot,Armenian,1.843,7,18,0.199,40.2,44.39,Asia,Armenia
Jew-Yemenite,Pashtun,0.476,7,17,0.104,33.49,70.5,Asia,Pakistan
general-AJ,Bengali,0.939,7,9,0.2,23.51,89.9,Asia,Bangladesh
Hemshin,Bengali,1.077,8,9,0.193,23.51,89.9,Asia,Bangladesh
Russian-Southwest,Spanish-Catalonia,3.819,8,57,0.16,41.68,1.66,Europe,Spain
Iranian-South,Ossetian,1.226,8,18,0.159,43.07,44.23,Europe,Russia
Ukranian-West,Iranian-North,1.545,8,12,0.218,36.29,52.43,Asia,Iran
Assyrian-Caucasus,Romanian,1.28,7,10,0.239,45.78,22.95,Europe,Romania
Jew-Moroccan,Poland-AJ,7.117,6,57,0.275,52.25,21,Europe,Poland
Turk-West,Jew-Azeri,1.128,8,11,0.209,40.88,48.02,Asia,Azerbaijan
Russian-Southwest,Karakalpak,2.795,8,10,0.305,42.48,59.61,Asia,Uzbekistan
Lak,Spanish-Catalonia,1.736,9,57,0.096,41.68,1.66,Europe,Spain
Turkmen,Basque-France,1.159,8,14,0.158,43,0,Europe,France
Darginian,Russian-Arctic,2.804,8,17,0.24,63.43,45.1,Europe,Russia
Hemshin,Adygei,2.424,8,31,0.178,44.39,39.31,Europe,Russia
Jew-Turkish,Kabardian,1.418,8,13,0.201,43.45,43.37,Europe,Russia
Latvia-AJ,Jew-Kurdish,1.538,7,8,0.284,36.34,43.15,Asia,Iraq
Jew-Georgian,Czechia-AJ,2.9,7,13,0.592,50.08,14.47,Europe,Czechia
general-AJ,Druze,1.658,7,30,0.155,32.05,35.02,Asia,Israel
Jew-Iranian,Jordanian,1.626,9,11,0.231,32.03,35.91,Asia,Jordan
Jew-Ethiopian,Uyghur-North,0.087,7,11,0.05,43.95,80.86,Asia,China
Latvia-AJ,Kyrgyz-North,0.723,7,25,0.11,43.12,81.15,Asia,Kyrgyzstan
Syrian,Jordanian,1.492,8,11,0.192,32.03,35.91,Asia,Jordan
Jew-Libyan,Bashkir,0.988,8,56,0.08,54.32,56.12,Europe,Russia
Jew-Libyan,Turk-South,1.563,8,10,0.243,37,35.32,Asia,Turkey
Jew-French,Turk-Northwest,2.041,7,18,0.252,40.4,28.56,Asia,Turkey
Jew-Tunisian,Italian-North,1.974,7,12,0.228,46,10,Europe,Italy
Maltese,Druze,1.526,8,30,0.133,32.05,35.02,Asia,Israel
Tunisian,Sardinian,1.403,8,20,0.158,40,9,Europe,Italy
Spanish-South,Romania-AJ,3.235,8,23,0.234,44.43,26.1,Europe,Romania
Maltese,Gagauz,2.656,8,9,0.385,45.54,28.38,Europe,Moldova
Jew-Kurdish,Lezgin,1.41,8,13,0.193,42.05,48.1,Europe,Russia
Ukranian-East,Tatar-Siberia,3.199,8,21,0.257,57.75,67.71,Asia,Russia
Lak,Karakalpak,1.72,9,10,0.242,42.48,59.61,Asia,Uzbekistan
Cypriot,Pole,2.248,7,19,0.222,51.98,19.4,Europe,Poland
general-AJ,French-North,2.609,7,9,0.339,50.18,2.37,Europe,France
Jew-Yemenite,Chuvash,0.623,7,18,0.114,55.33,48.74,Europe,Russia
Uzbek-West,Abkhasian,1.183,8,12,0.196,43.04,40.93,Asia,Abkhazia
Hemshin,French-North,1.434,8,9,0.231,50.18,2.37,Europe,France
Iranian-South,Turk-Northwest,1.47,8,18,0.177,40.4,28.56,Asia,Turkey
Russian-Southwest,Poland-AJ,3.512,8,57,0.162,52.25,21,Europe,Poland
Ukranian-West,BedouinB,1.207,8,12,0.194,31,35,Asia,Israel
Assyrian-Caucasus,Saudi,1.552,7,10,0.216,19.75,43.35,Asia,Saudi Arabia
Cypriot,Jew-Tunisian,1.58,7,7,0.36,36.8,10.18,Africa,Tunisia
Jew-Moroccan,Russian-Central,1.947,6,58,0.132,57.19,38.52,Europe,Russia
Turk-West,Karachay,1.634,8,11,0.233,43.94,42.52,Europe,Russia
Russian-Southwest,Turk-Central,1.974,8,10,0.267,38.73,35.48,Asia,Turkey
Lak,Poland-AJ,1.807,9,57,0.11,52.25,21,Europe,Poland
Turkmen,Croat,1.805,8,14,0.255,43.63,16.84,Europe,Croatia
Hemshin,Tajik,1.059,8,32,0.112,38.41,69.6,Asia,Tajikistan
Latvia-AJ,Jew-Iranian,1.82,7,9,0.322,35.7,51.42,Asia,Iran
Jew-Turkish,Belarusian,2.445,8,14,0.245,53.64,27.47,Europe,Belarus
Darginian,Karelian,2.107,8,17,0.211,60.85,32.14,Europe,Russia
Jew-Georgian,Lezgin,1.271,7,13,0.189,42.05,48.1,Europe,Russia
Jew-Iranian,Finn,1.35,9,11,0.206,60.39,24.49,Europe,Finland
general-AJ,Adygei,2.22,7,31,0.172,44.39,39.31,Europe,Russia
Latvia-AJ,Yemenite-Northwest,1.801,7,26,0.162,15.74,44.45,Asia,Yemen
Jew-Ethiopian,Spanish-Valencia,0.273,7,11,0.092,39.02,-0.37,Europe,Spain
Syrian,Finn,0.875,8,11,0.162,60.39,24.49,Europe,Finland
Jew-Libyan,Spanish-Catalonia,1.781,8,57,0.103,41.68,1.66,Europe,Spain
Jew-Libyan,Karakalpak,0.706,8,10,0.151,42.48,59.61,Asia,Uzbekistan
Tunisian,Baloch,0.73,8,20,0.125,30.5,66.5,Asia,Pakistan
Jew-French,Egyptian,1.588,7,18,0.176,30.69,31.28,Africa,Egypt
Maltese,Adygei,1.743,8,31,0.151,44.39,39.31,Europe,Russia
Jew-Tunisian,Circassian,1.14,7,12,0.192,44.28,41.55,Europe,Russia
Spanish-South,BedouinA,1.409,8,23,0.147,31,35,Asia,Israel
Jew-Kurdish,Kazakh-East,0.565,8,13,0.118,44,87.46,Asia,Kazakhstan
Maltese,Bengali,0.524,8,9,0.159,23.51,89.9,Asia,Bangladesh
Ukranian-East,Spanish-Central,3.692,8,21,0.27,40.36,-3.74,Europe,Spain
general-AJ,Ingush,2.087,7,9,0.314,43.52,44.58,Europe,Russia
Lak,Turk-Central,1.515,9,10,0.212,38.73,35.48,Asia,Turkey
Jew-Yemenite,Ossetian,1.102,7,18,0.165,43.07,44.23,Europe,Russia
Hemshin,Ingush,1.866,8,9,0.25,43.52,44.58,Europe,Russia
Cypriot,Sardinian,1.72,7,20,0.186,40,9,Europe,Italy
Iranian-South,Egyptian,0.815,8,18,0.132,30.69,31.28,Africa,Egypt
Uzbek-West,Icelandic,2.198,8,12,0.279,64.13,-21.93,Europe,Iceland
Ukranian-West,Jew-Uzbek,1.283,8,12,0.21,41.31,69.29,Asia,Uzbekistan
Cypriot,general-AJ,2.064,7,7,0.338,52.23,21.02,Europe,Poland
Assyrian-Caucasus,Portuguese,1.119,7,10,0.203,39.4,-8.22,Europe,Portugal
Turk-West,Jordanian,1.041,8,11,0.204,32.03,35.91,Asia,Jordan
Russian-Southwest,Moroccan,1.027,8,10,0.157,33.53,-7.58,Africa,Morocco
Russian-Southwest,Russian-Central,15.165,8,58,0.33,57.19,38.52,Europe,Russia
Lak,Russian-Central,2.743,9,58,0.123,57.19,38.52,Europe,Russia
Turkmen,Sicilian-West,0.98,8,14,0.149,38.02,12.52,Europe,Italy
Latvia-AJ,Lak,1.152,7,9,0.26,42.17,47.12,Europe,Russia
Jew-Georgian,Kazakh-East,0.318,7,13,0.089,44,87.46,Asia,Kazakhstan
Darginian,Gujarati,1.043,8,17,0.144,23.2,72.7,Asia,India
Hemshin,Palestinian,1.477,8,33,0.12,32.13,35.04,Asia,Israel
Jew-Turkish,Basque-France,2.452,8,14,0.251,43,0,Europe,France
general-AJ,Tajik,1.712,7,32,0.143,38.41,69.6,Asia,Tajikistan
Jew-Iranian,Jew-Italian,1.731,9,11,0.239,41.9,12.48,Europe,Italy
Jew-Ethiopian,Moldavian,0.159,7,11,0.07,46.51,29.66,Europe,Moldova
Syrian,Jew-Italian,1.458,8,11,0.26,41.9,12.48,Europe,Italy
Latvia-AJ,Jew-Bulgarian,29.422,7,26,1.607,42.68,23.32,Europe,Bulgaria
Jew-Libyan,Poland-AJ,5.393,8,57,0.209,52.25,21,Europe,Poland
Jew-Libyan,Turk-Central,0.969,8,10,0.173,38.73,35.48,Asia,Turkey
Tunisian,Swede,1.421,8,20,0.162,59.31,18,Europe,Sweden
Jew-French,Komi,2.485,7,18,0.251,61.87,51.43,Europe,Russia
Jew-Kurdish,Kazakh-West,0.615,8,13,0.134,51.8,67.16,Asia,Kazakhstan
Maltese,Tajik,1.249,8,32,0.124,38.41,69.6,Asia,Tajikistan
Jew-Tunisian,Iranian-North,0.888,7,12,0.15,36.29,52.43,Asia,Iran
Maltese,French-North,1.915,8,9,0.303,50.18,2.37,Europe,France
Spanish-South,Nogai,1.208,8,25,0.127,44.82,43.22,Europe,Russia
general-AJ,Chechen,2.331,7,9,0.396,43.33,45.65,Europe,Russia
Hemshin,Chechen,2.362,8,9,0.301,43.33,45.65,Europe,Russia
Ukranian-East,Hungarian,10.592,8,21,0.445,47.49,19.07,Europe,Hungary
Cypriot,Baloch,1.239,7,20,0.164,30.5,66.5,Asia,Pakistan
Jew-Yemenite,Turk-Northwest,1.078,7,18,0.143,40.4,28.56,Asia,Turkey
Lak,Moroccan,0.309,9,10,0.094,33.53,-7.58,Africa,Morocco
Iranian-South,Komi,1.6,8,18,0.173,61.87,51.43,Europe,Russia
Uzbek-West,Italian-North,1.405,8,12,0.192,46,10,Europe,Italy
Ukranian-West,Greek-North,6.078,8,13,0.415,40.64,22.94,Europe,Greece
Cypriot,Jew-Yemenite,1.337,7,7,0.276,15.35,44.2,Asia,Yemen
Assyrian-Caucasus,Spanish-North,1.621,7,10,0.265,43.05,-3.35,Europe,Spain
Turk-West,Finn,2.731,8,11,0.343,60.39,24.49,Europe,Finland
Russian-Southwest,Romanian,7.254,8,10,0.518,45.78,22.95,Europe,Romania
Jew-French,Jew-Ethiopian,0.407,7,7,0.124,9.03,38.73,Africa,Ethiopia
Turkmen,Udmurt,2.517,8,14,0.256,56.43,52.66,Europe,Russia
Latvia-AJ,Punjabi,0.362,7,9,0.124,29.89,74.48,Asia,Pakistan
Jew-Georgian,Kazakh-West,0.474,7,13,0.118,51.8,67.16,Asia,Kazakhstan
Hemshin,Mordvin,2.353,8,34,0.179,54.49,44.21,Europe,Russia
Darginian,Pashtun,1.387,8,17,0.164,33.49,70.5,Asia,Pakistan
Jew-Turkish,Croat,1.782,8,14,0.192,43.63,16.84,Europe,Croatia
general-AJ,Palestinian,2.01,7,33,0.164,32.13,35.04,Asia,Israel
Jew-Iranian,Italian-Northwest,1.411,9,11,0.185,45.05,7.52,Europe,Italy
Jew-Ethiopian,Jew-Azeri,0.458,7,11,0.132,40.88,48.02,Asia,Azerbaijan
Syrian,Italian-Northwest,1.665,8,11,0.249,45.05,7.52,Europe,Italy
Jew-Libyan,Russian-Central,1.538,8,58,0.094,57.19,38.52,Europe,Russia
Jew-Libyan,Moroccan,2.521,8,10,0.313,33.53,-7.58,Africa,Morocco
Jew-French,Azeri,1.188,7,18,0.155,40.97,47.86,Europe,Russia
Jew-Kurdish,Lithuanian,1.513,8,13,0.199,55,23.93,Europe,Lithuania
Tunisian,Brahui,0.436,8,21,0.101,30.5,66.5,Asia,Pakistan
Maltese,Palestinian,1.364,8,33,0.122,32.13,35.04,Asia,Israel
Maltese,Ingush,2.062,8,9,0.294,43.52,44.58,Europe,Russia
Jew-Tunisian,BedouinB,1.405,7,12,0.252,31,35,Asia,Israel
Hemshin,Kurd,1.889,8,10,0.231,43.8,40.4,Asia,Russia
general-AJ,Kurd,1.554,7,10,0.215,43.8,40.4,Asia,Russia
Cypriot,Swede,1.689,7,20,0.174,59.31,18,Europe,Sweden
Spanish-South,Kyrgyz-North,0.743,8,25,0.099,43.12,81.15,Asia,Kyrgyzstan
Ukranian-East,Mozabite,1.142,8,21,0.153,32,3,Africa,Algeria
Jew-Yemenite,Egyptian,1.4,7,18,0.187,30.69,31.28,Africa,Egypt
Lak,Romanian,2.266,9,10,0.25,45.78,22.95,Europe,Romania
Iranian-South,Azeri,1.182,8,18,0.145,40.97,47.86,Europe,Russia
Uzbek-West,Circassian,1.884,8,12,0.238,44.28,41.55,Europe,Russia
Latvia-AJ,Hungary-AJ,72.983,7,26,3.112,47.5,19.08,Europe,Hungary
Ukranian-West,German,9.363,8,13,0.568,51.48,10.37,Europe,Germany
Cypriot,Uzbek-West,0.585,7,8,0.169,41.55,60.63,Asia,Uzbekistan
Turk-West,Jew-Italian,1.895,8,11,0.283,41.9,12.48,Europe,Italy
Assyrian-Caucasus,French-Northeast,1.215,7,10,0.248,48.76,6.13,Europe,France
Russian-Southwest,Saudi,1.224,8,10,0.218,19.75,43.35,Asia,Saudi Arabia
Turkmen,Belarus-AJ,1.147,8,14,0.161,53.9,27.57,Europe,Belarus
Latvia-AJ,Lebanese-Christian,1.178,7,9,0.221,33.89,35.5,Asia,Lebanon
Jew-Georgian,Lithuanian,1.108,7,13,0.179,55,23.93,Europe,Lithuania
Punjabi,Lebanese-Christian,0.585,9,9,0.138,33.89,35.5,Asia,Lebanon
Darginian,Chuvash,2.371,8,18,0.242,55.33,48.74,Europe,Russia
Hemshin,Ukraine-AJ,2.203,8,38,0.148,50.43,30.52,Europe,Ukraine
Ukranian-East,Turkmen,2.567,8,8,0.358,42.49,59.41,Asia,Uzbekistan
Jew-Turkish,Sicilian-West,1.734,8,14,0.18,38.02,12.52,Europe,Italy
Jew-French,Latvia-AJ,100.792,7,7,6.857,56.95,24.1,Europe,Latvia
Jew-Ethiopian,Karachay,0.097,7,11,0.056,43.94,42.52,Europe,Russia
general-AJ,Mordvin,3.4,7,34,0.195,54.49,44.21,Europe,Russia
Jew-Iranian,Ukranian-Central,1.589,9,12,0.205,50.47,30.3,Europe,Ukraine
Jew-Libyan,Romanian,1.599,8,10,0.248,45.78,22.95,Europe,Romania
Syrian,Ukranian-Central,1.219,8,12,0.226,50.47,30.3,Europe,Ukraine
Jew-French,Armenian,1.641,7,18,0.18,40.2,44.39,Asia,Armenia
Jew-Kurdish,Balkar,1.174,8,13,0.193,43.5,43.61,Europe,Russia
Maltese,Mordvin,2.7,8,34,0.16,54.49,44.21,Europe,Russia
Tunisian,Uzbek-East,0.528,8,21,0.091,41.18,69.22,Asia,Uzbekistan
Jew-Tunisian,Jew-Uzbek,1.347,7,12,0.202,41.31,69.29,Asia,Uzbekistan
Maltese,Chechen,1.571,8,9,0.25,43.33,45.65,Europe,Russia
general-AJ,Avar,1.824,7,10,0.26,41.93,47.33,Europe,Russia
Hemshin,Avar,1.587,8,10,0.198,41.93,47.33,Europe,Russia
Spanish-South,Yemenite-Northwest,0.913,8,26,0.106,15.74,44.45,Asia,Yemen
Cypriot,Brahui,1.341,7,21,0.177,30.5,66.5,Asia,Pakistan
Jew-Yemenite,Komi,0.715,7,18,0.13,61.87,51.43,Europe,Russia
Ukranian-East,Iranian-Central,1.6,8,22,0.164,31.43,51.07,Asia,Iran
Iranian-South,Armenian,1.434,8,18,0.166,40.2,44.39,Asia,Armenia
Latvia-AJ,Georgian,1.289,7,26,0.143,41.96,42.06,Asia,Turkey
Lak,Saudi,0.952,9,10,0.197,19.75,43.35,Asia,Saudi Arabia
Ukranian-West,Somali,0.235,8,13,0.077,5.6,48.3,Africa,Kenya
Cypriot,Hemshin,2.391,7,8,0.401,41,39.7,Europe,Russia
Uzbek-West,Iranian-North,1.211,8,12,0.177,36.29,52.43,Asia,Iran
Turk-West,Italian-Northwest,2.064,8,11,0.233,45.05,7.52,Europe,Italy
Russian-Southwest,Portuguese,3.931,8,10,0.332,39.4,-8.22,Europe,Portugal
Assyrian-Caucasus,French-Northwest,1.289,7,10,0.246,48.25,-3.24,Europe,France
Turkmen,Sindhi,0.88,8,14,0.162,25.49,69,Asia,Pakistan
Jew-Georgian,Balkar,1.36,7,13,0.212,43.5,43.61,Europe,Russia
Latvia-AJ,Bulgarian,1.649,7,9,0.235,42.16,24.74,Europe,Bulgaria
Punjabi,Bulgarian,0.925,9,9,0.192,42.16,24.74,Europe,Bulgaria
Jew-French,Jew-Georgian,1.602,7,7,0.295,41.72,44.78,Asia,Georgia
Hemshin,Russia-AJ,1.872,8,39,0.143,55.75,37.62,Europe,Russia
Jew-Turkish,Udmurt,1.38,8,14,0.205,56.43,52.66,Europe,Russia
Ukranian-East,Turk-West,2.806,8,8,0.42,37.92,27.75,Asia,Turkey
Darginian,Ossetian,2.319,8,18,0.207,43.07,44.23,Europe,Russia
Jew-Ethiopian,Jordanian,0.346,7,11,0.098,32.03,35.91,Asia,Jordan
Jew-Iranian,Tabasaran,1.356,9,12,0.177,42.05,47.81,Europe,Russia
Jew-Libyan,Saudi,1.93,8,10,0.263,19.75,43.35,Asia,Saudi Arabia
Syrian,Tabasaran,1.121,8,12,0.232,42.05,47.81,Europe,Russia
Jew-Tunisian,Greek-North,1.413,7,13,0.208,40.64,22.94,Europe,Greece
Jew-French,Pole,3.334,7,19,0.265,51.98,19.4,Europe,Poland
Jew-Kurdish,Kabardian,1.297,8,13,0.194,43.45,43.37,Europe,Russia
general-AJ,Turk-South,1.978,7,10,0.279,37,35.32,Asia,Turkey
Maltese,Ukraine-AJ,2.252,8,38,0.152,50.43,30.52,Europe,Ukraine
Tunisian,Tatar-Siberia,0.365,8,21,0.075,57.75,67.71,Asia,Russia
Maltese,Kurd,1.449,8,10,0.217,43.8,40.4,Asia,Russia
Hemshin,Turk-South,2.226,8,10,0.302,37,35.32,Asia,Turkey
Spanish-South,Darginian,1.437,8,8,0.279,42.18,47.22,Europe,Russia
Spanish-South,Jew-Bulgarian,3.673,8,26,0.249,42.68,23.32,Europe,Bulgaria
Cypriot,Uzbek-East,0.848,7,21,0.144,41.18,69.22,Asia,Uzbekistan
Ukranian-West,Czechia-AJ,5.744,8,13,0.692,50.08,14.47,Europe,Czechia
Jew-Yemenite,Azeri,1.068,7,18,0.2,40.97,47.86,Europe,Russia
Ukranian-East,Romania-AJ,4.177,8,23,0.261,44.43,26.1,Europe,Romania
Iranian-South,Pole,1.51,8,19,0.162,51.98,19.4,Europe,Poland
Cypriot,Iranian-South,1.55,7,8,0.283,27.18,56.27,Asia,Iran
Lak,Portuguese,2.094,9,10,0.252,39.4,-8.22,Europe,Portugal
Uzbek-West,BedouinB,1.007,8,12,0.184,31,35,Asia,Israel
Turk-West,Ukranian-Central,2.303,8,12,0.288,50.47,30.3,Europe,Ukraine
general-AJ,Ukraine-AJ,85.818,7,38,1.38,50.43,30.52,Europe,Ukraine
Russian-Southwest,Spanish-North,3.613,8,10,0.36,43.05,-3.35,Europe,Spain
Assyrian-Caucasus,Czech,1.212,7,10,0.244,50.1,14.4,Europe,Czechoslovakia
Turkmen,Italian-South,1.005,8,15,0.17,41.89,14.49,Europe,Italy
Jew-Georgian,Kabardian,1.913,7,13,0.264,43.45,43.37,Europe,Russia
Latvia-AJ,Germany-AJ,94.868,7,26,3.404,52.52,13.4,Europe,Germany
Jew-French,Assyrian-Caucasus,2.038,7,7,0.406,40.21,44.34,Asia,Armenia
Punjabi,Avar,0.763,9,10,0.171,41.93,47.33,Europe,Russia
Punjabi,Albanian,0.975,9,9,0.187,41.32,19.82,Europe,Albania
Hemshin,Bashkir,1.371,8,56,0.101,54.32,56.12,Europe,Russia
Ukranian-East,Maltese,2.828,8,8,0.326,35.94,14.38,Europe,Malta
Darginian,Turk-Northwest,1.553,8,18,0.183,40.4,28.56,Asia,Turkey
Jew-Turkish,Belarus-AJ,14.989,8,14,0.812,53.9,27.57,Europe,Belarus
Jew-Ethiopian,Finn,0.099,7,11,0.057,60.39,24.49,Europe,Finland
Jew-Iranian,Veps,1.369,9,12,0.181,61.3,35.01,Europe,Russia
Jew-Libyan,Portuguese,2.233,8,10,0.272,39.4,-8.22,Europe,Portugal
Syrian,Veps,1.175,8,12,0.195,61.3,35.01,Europe,Russia
Jew-Tunisian,German,1.3,7,13,0.201,51.48,10.37,Europe,Germany
general-AJ,Karakalpak,1.126,7,10,0.207,42.48,59.61,Asia,Uzbekistan
Jew-Kurdish,Belarusian,1.869,8,14,0.22,53.64,27.47,Europe,Belarus
Jew-French,Sardinian,2.144,7,20,0.195,40,9,Europe,Italy
Tunisian,Spanish-Central,1.869,8,21,0.165,40.36,-3.74,Europe,Spain
Maltese,Russia-AJ,2.244,8,39,0.142,55.75,37.62,Europe,Russia
Spanish-South,Jew-Kurdish,0.971,8,8,0.227,36.34,43.15,Asia,Iraq
Hemshin,Karakalpak,0.675,8,10,0.15,42.48,59.61,Asia,Uzbekistan
Maltese,Avar,1.419,8,10,0.198,41.93,47.33,Europe,Russia
Spanish-South,Hungary-AJ,2.483,8,26,0.193,47.5,19.08,Europe,Hungary
Cypriot,Tatar-Siberia,0.832,7,21,0.125,57.75,67.71,Asia,Russia
Ukranian-West,Lezgin,2.315,8,13,0.244,42.05,48.1,Europe,Russia
Jew-Yemenite,Armenian,1.185,7,18,0.15,40.2,44.39,Asia,Armenia
Cypriot,Ukranian-West,2.165,7,8,0.359,50.3,25.49,Europe,Ukraine
Ukranian-East,BedouinA,1.263,8,23,0.156,31,35,Asia,Israel
Lak,Spanish-North,1.794,9,10,0.221,43.05,-3.35,Europe,Spain
Iranian-South,Sardinian,0.967,8,20,0.128,40,9,Europe,Italy
Uzbek-West,Jew-Uzbek,0.9,8,12,0.149,41.31,69.29,Asia,Uzbekistan
Russian-Southwest,French-Northeast,5.51,8,10,0.479,48.76,6.13,Europe,France
Turk-West,Tabasaran,1.785,8,12,0.281,42.05,47.81,Europe,Russia
Assyrian-Caucasus,Assyrian-MiddleEast,22.133,7,11,1.753,37.27,44.21,Asia,Turkey
Turkmen,Tuscan,1.126,8,15,0.148,43.36,11.12,Europe,Italy
Jew-Georgian,Belarusian,1.475,7,14,0.191,53.64,27.47,Europe,Belarus
Latvia-AJ,Tatar-Volga,1.796,7,26,0.191,54.19,52.71,Europe,Russia
Jew-French,Cypriot,1.31,7,7,0.345,35.13,33.43,Europe,Cyprus
Ukranian-East,Tunisian,0.723,8,8,0.174,36.82,10.17,Africa,Tunisia
Punjabi,Turk-South,0.74,9,10,0.151,37,35.32,Asia,Turkey
Punjabi,Turk-Northeast,0.635,9,9,0.143,41,39.73,Asia,Turkey
Hemshin,Spanish-Catalonia,1.795,8,57,0.11,41.68,1.66,Europe,Spain
Jew-Turkish,Sindhi,0.918,8,14,0.172,25.49,69,Asia,Pakistan
Darginian,Egyptian,0.794,8,18,0.125,30.69,31.28,Africa,Egypt
Jew-Ethiopian,Jew-Italian,0.715,7,11,0.168,41.9,12.48,Europe,Italy
general-AJ,Russia-AJ,71.596,7,39,2.127,55.75,37.62,Europe,Russia
Jew-Iranian,Norwegian,1.644,9,12,0.193,60.32,5.81,Europe,Norway
Jew-Tunisian,Somali,0.177,7,13,0.065,5.6,48.3,Africa,Kenya
Jew-Libyan,Spanish-North,2.151,8,10,0.276,43.05,-3.35,Europe,Spain
Syrian,Norwegian,0.945,8,12,0.154,60.32,5.81,Europe,Norway
Jew-Kurdish,Basque-France,1.101,8,14,0.172,43,0,Europe,France
general-AJ,Turk-Central,1.386,7,10,0.235,38.73,35.48,Asia,Turkey
Jew-French,Baloch,1.4,7,20,0.193,30.5,66.5,Asia,Pakistan
Spanish-South,Jew-Iranian,1.838,8,9,0.288,35.7,51.42,Asia,Iran
Tunisian,Hungarian,0.941,8,21,0.126,47.49,19.07,Europe,Hungary
Spanish-South,Georgian,1.328,8,26,0.139,41.96,42.06,Asia,Turkey
Maltese,Bashkir,1.309,8,56,0.09,54.32,56.12,Europe,Russia
Hemshin,Turk-Central,1.679,8,10,0.225,38.73,35.48,Asia,Turkey
Maltese,Turk-South,1.611,8,10,0.248,37,35.32,Asia,Turkey
Ukranian-West,Kazakh-East,2.001,8,13,0.23,44,87.46,Asia,Kazakhstan
Cypriot,Spanish-Central,1.999,7,21,0.223,40.36,-3.74,Europe,Spain
Jew-Yemenite,Pole,0.901,7,19,0.13,51.98,19.4,Europe,Poland
Cypriot,Russian-Southwest,1.974,7,8,0.292,51.34,36.86,Europe,Russia
Lak,French-Northeast,2.463,9,10,0.266,48.76,6.13,Europe,France
Ukranian-East,Nogai,3.525,8,25,0.224,44.82,43.22,Europe,Russia
Uzbek-West,Greek-North,1.19,8,13,0.187,40.64,22.94,Europe,Greece
Iranian-South,Baloch,11.435,8,20,0.615,30.5,66.5,Asia,Pakistan
Russian-Southwest,French-Northwest,4.631,8,10,0.414,48.25,-3.24,Europe,France
Turk-West,Veps,3.248,8,12,0.325,61.3,35.01,Europe,Russia
